phase,relative_flux,err_relative_flux
0.424407169035663,0.9999492281706142,0.00010999719961504118
0.42966921676872455,0.9999357646882194,0.0001624384883085923
0.43362670891222527,1.0000476597333072,8.189701186485622e-05
0.43825094476351023,1.000048914707684,8.749141853784213e-05
0.4428018430931252,1.000030257868488,9.217147968947965e-05
0.44745120205405936,1.0001237249454882,0.00011603731956696476
0.4518616856803939,1.0000126435095256,9.963639371051239e-05
0.4565830708866272,0.9998696859009955,8.658985012117649e-05
0.46122479053975984,0.9998234299459845,9.145440902004153e-05
0.4657490197237691,0.9999584005739994,9.489098453575058e-05
0.47037835544699735,0.9999316629214998,0.000103381215583642
0.4749807166370474,1.000004138852548,0.00010025559782776893
0.4795275570850035,0.9998828085588303,0.00011196520087695801
0.4841328047594088,1.0002571791584216,8.42618127378134e-05
0.4887779184982888,1.000087909329509,9.855643196928212e-05
0.49353254255460227,0.9995538337147687,0.00010662689643690792
0.497988343988791,0.9996628152550364,0.00010007883700565526
0.5024153240202932,0.9996099211643459,9.485686538061091e-05
0.5071533576005519,0.9995520663507581,9.402534837033904e-05
0.5117624884021508,1.0000461829245169,9.11686964573335e-05
0.5163529279292283,1.0001136425704635,9.750973373246855e-05
0.5210427801762464,0.9999530831327865,9.413319415820338e-05
0.5254505844810671,1.0001248246332182,0.00011253337627760582
0.5301294907355762,0.9999042926292003,0.00011512845729948193
0.5342420137863519,0.9999510873348125,0.0001086413207699303
0.5394176298404361,0.9999346278696482,0.00016090912515064062
0.5425812696372475,0.9999445774078024,0.00023186530989399872
