phase,relative_flux,err_relative_flux
0.4183300250273884,1.0002649665318057,0.00031382142674814045
0.42243042180153667,0.9998608844336108,0.00016278303454300645
0.42715125326573117,1.0000743108216656,0.00012615398234531848
0.43164314827081485,1.0000191399309917,9.944431933031979e-05
0.4362664750746518,0.9999205777233331,0.00012298405976817609
0.4408584891548875,0.9998044728485056,0.00012839999680494231
0.445446913171744,1.0001201278602692,0.00013548191883022082
0.4499642561583871,0.999846699490718,0.0001236353366212811
0.4545929244119107,1.000058568754585,0.00012960192544599782
0.459181015079224,1.0000621419147115,0.00011779497232016196
0.4638803502790842,1.000019172171988,0.00014176216990775817
0.4684012432954426,1.0000886385272376,0.00013244164536146155
0.47294985271835766,1.0001083392866021,0.00011491397008393868
0.47752975660634,0.9998555503545943,0.00011857691108966679
0.48218031448507903,0.9999811751978114,0.00010284693859444419
0.486817937731237,1.0002015515652256,0.00013674169184462283
0.4914402309361579,0.9996143193974776,0.000140664009250129
0.49595077568346946,0.9991465717247916,0.00012209171181465716
0.5009420533834428,0.9992083606430673,0.00012719408586235907
0.5052209090394203,0.999149021024839,0.00014690208095340514
0.5098415987828959,0.9999955534232876,0.00011184530091964596
0.5142625803390257,0.9999047519101634,0.00013338012606396217
0.5189296648835605,0.9999786994945559,0.00013760393029866328
0.5234952113528629,0.9997886814925918,0.00010108343059162988
0.5281605494278632,0.9999305867020105,0.00010942252327501907
0.5327140412362082,1.0000025533476191,0.00015592471797405542
0.5369223753457384,1.0003269524755483,0.0001439355800888978
0.5419996936183918,1.000061090742843,0.00019437945461750413
0.5456366978729444,0.9997492640354109,0.0001966085441405072
